word_bag_features,article_length,category
0.35,1077,Entertainment
0.67,474,Technology
0.69,296,Entertainment
0.5,368,Entertainment
0.51,1723,Sports
0.72,936,Technology
0.99,1387,Politics
0.53,1940,Sports
0.39,1539,Entertainment
0.98,1866,Politics
0.34,1143,Entertainment
0.87,1869,Politics
0.53,732,Entertainment
0.75,1575,Sports
0.48,406,Technology
0.88,808,Sports
0.8,817,Politics
0.49,1196,Entertainment
0.83,477,Sports
0.56,418,Business
0.58,1582,Technology
0.52,406,Technology
0.76,1472,Technology
0.68,1543,Entertainment
0.52,1231,Sports
0.91,1692,Politics
0.8,1491,Technology
0.56,371,Sports
0.53,713,Sports
0.8,1759,Business
0.81,870,Sports
0.76,1011,Business
0.99,633,Politics
0.67,662,Politics
0.57,1806,Business
0.9,1209,Politics
0.61,1057,Technology
0.6,911,Business
0.83,1377,Politics
0.61,1997,Sports
0.61,379,Politics
0.67,1327,Entertainment
0.37,1460,Entertainment
0.65,257,Entertainment
0.5,1756,Entertainment
0.84,698,Sports
0.67,1228,Politics
0.88,690,Sports
0.69,951,Technology
0.49,1514,Entertainment
0.82,409,Business
0.82,1770,Business
0.48,517,Technology
0.85,1666,Sports
0.63,813,Politics
0.73,1110,Technology
0.57,299,Business
0.43,1411,Entertainment
0.9,801,Politics
0.71,369,Technology
0.75,576,Politics
0.55,1047,Entertainment
0.5,437,Sports
0.59,691,Sports
0.52,1728,Technology
0.7,1763,Technology
0.55,1150,Entertainment
0.67,1869,Technology
0.66,620,Politics
0.79,310,Politics
0.52,1075,Entertainment
0.75,1346,Technology
0.52,769,Business
0.74,903,Business
0.72,540,Sports
0.55,1574,Business
0.42,310,Technology
0.4,347,Technology
0.57,118,Technology
0.59,107,Business
0.51,1226,Business
0.57,567,Entertainment
0.49,1999,Entertainment
0.57,753,Sports
0.68,1690,Technology
0.88,288,Politics
0.5,440,Technology
0.63,2000,Politics
0.81,264,Politics
0.75,1714,Technology
0.57,620,Entertainment
0.66,1008,Sports
0.85,884,Politics
0.83,1073,Sports
0.65,1578,Business
0.75,1109,Business
0.96,1780,Politics
0.33,1201,Entertainment
0.98,1933,Politics
0.69,1213,Entertainment
0.59,109,Entertainment
0.66,1012,Technology
0.47,344,Entertainment
0.99,1789,Politics
0.84,1224,Sports
0.66,1746,Business
0.9,1763,Politics
0.51,532,Business
0.79,1496,Business
0.7,889,Sports
0.54,197,Sports
0.57,383,Entertainment
0.64,1010,Politics
0.87,668,Politics
0.76,1142,Sports
0.63,1742,Entertainment
0.77,1091,Sports
0.58,271,Technology
0.72,1628,Business
0.65,1860,Business
0.58,1887,Entertainment
0.78,1573,Business
0.34,641,Entertainment
0.65,1395,Business
0.78,302,Sports
0.9,468,Politics
0.69,988,Technology
0.36,1986,Entertainment
0.69,1298,Business
0.77,1316,Business
0.65,1634,Sports
0.41,1119,Technology
0.64,1094,Politics
0.58,1689,Technology
0.57,478,Business
0.88,1066,Politics
0.91,322,Politics
0.75,1545,Business
0.5,668,Technology
0.44,1097,Entertainment
0.61,1667,Technology
0.66,1952,Politics
0.62,420,Technology
0.7,1014,Technology
0.75,516,Sports
0.55,1483,Business
0.57,962,Business
0.72,209,Politics
0.8,269,Technology
0.47,1532,Technology
0.57,591,Sports
0.8,1917,Sports
0.57,1867,Entertainment
0.38,467,Entertainment
0.81,802,Politics
0.51,470,Entertainment
0.54,720,Business
0.55,1180,Business
0.48,863,Technology
0.68,1265,Politics
0.54,667,Business
0.74,1137,Sports
0.69,652,Business
0.77,168,Technology
0.76,1059,Sports
0.57,989,Technology
0.42,795,Technology
0.99,317,Politics
0.82,225,Business
0.45,1989,Technology
0.62,803,Politics
0.98,1393,Politics
0.78,1810,Sports
0.96,319,Politics
0.63,1137,Politics
0.69,411,Entertainment
0.85,1044,Business
0.71,1662,Business
0.78,1337,Business
0.93,1680,Politics
0.76,1508,Sports
0.46,1510,Technology
0.62,251,Business
0.58,1514,Entertainment
0.68,1112,Politics
0.67,1000,Sports
0.49,1289,Entertainment
0.43,767,Entertainment
0.61,1571,Business
0.7,1807,Business
1.0,267,Politics
0.65,1995,Entertainment
0.89,311,Politics
0.59,1482,Technology
0.76,1329,Business
0.51,1309,Sports
0.79,406,Business
0.44,1543,Technology
0.71,584,Politics
0.61,420,Sports
0.61,345,Entertainment
0.72,1385,Politics
0.74,1546,Business
0.84,1509,Sports
0.86,744,Politics
0.84,1969,Politics
0.88,751,Sports
0.57,1816,Sports
0.77,1903,Business
0.84,364,Business
0.36,364,Entertainment
0.85,773,Politics
0.54,1169,Entertainment
0.59,677,Technology
0.52,232,Business
0.64,695,Technology
0.76,893,Politics
0.73,795,Technology
0.65,1114,Sports
0.61,1363,Entertainment
0.72,408,Business
0.84,1014,Politics
0.71,1161,Politics
0.86,704,Politics
0.68,423,Politics
0.32,267,Entertainment
0.59,315,Business
0.67,977,Politics
0.63,1984,Business
0.84,746,Business
0.52,1094,Business
0.42,956,Technology
0.55,1404,Entertainment
0.33,318,Entertainment
0.64,329,Technology
0.75,1008,Technology
0.68,1580,Business
0.52,1901,Business
0.54,1564,Business
0.67,1642,Sports
0.6,627,Sports
0.69,927,Entertainment
0.68,1440,Politics
0.69,849,Technology
0.58,1200,Sports
0.86,984,Politics
0.52,488,Technology
0.8,1237,Sports
0.62,183,Entertainment
0.56,1659,Business
0.56,537,Sports
0.52,904,Technology
0.8,631,Business
0.67,915,Technology
0.63,1903,Business
0.76,1210,Business
0.65,1201,Technology
0.53,1720,Entertainment
0.6,1258,Technology
0.46,299,Technology
0.66,1809,Business
0.67,1422,Technology
0.65,413,Politics
0.55,214,Entertainment
0.55,1004,Entertainment
0.76,1569,Technology
0.73,483,Technology
0.61,1069,Sports
0.47,1674,Technology
0.5,1159,Business
0.5,248,Sports
0.8,1770,Sports
0.49,218,Technology
0.78,1004,Politics
0.86,843,Politics
0.6,874,Entertainment
0.47,1605,Technology
0.72,1993,Technology
0.33,863,Entertainment
0.75,1551,Technology
0.6,1867,Sports
0.84,136,Sports
0.52,1506,Entertainment
0.86,361,Sports
0.81,1426,Sports
0.57,1526,Entertainment
0.83,1786,Business
0.63,1767,Sports
0.75,1899,Technology
0.95,1214,Politics
0.85,478,Politics
0.41,1718,Technology
0.69,546,Politics
0.67,709,Technology
0.89,1866,Politics
0.62,1733,Business
0.6,1260,Business
0.58,1188,Business
0.68,1250,Sports
0.81,1720,Business
0.75,462,Sports
0.68,1764,Technology
0.66,1662,Technology
0.64,205,Politics
0.7,1301,Technology
0.68,615,Technology
0.74,1382,Business
0.46,996,Technology
0.68,235,Technology
0.99,852,Politics
0.77,561,Technology
0.32,1551,Entertainment
0.45,1356,Entertainment
0.5,1178,Sports
0.65,500,Entertainment
0.76,690,Business
0.51,1118,Technology
0.45,1086,Technology
0.48,928,Entertainment
0.76,551,Technology
0.81,1133,Sports
0.54,1572,Sports
0.57,1363,Sports
0.31,132,Entertainment
0.46,1155,Technology
0.66,1677,Business
0.69,1877,Politics
0.53,656,Entertainment
0.75,655,Technology
0.49,557,Technology
0.82,359,Sports
0.76,610,Technology
0.58,1805,Business
0.43,1843,Technology
0.85,1139,Politics
0.55,1785,Sports
0.79,1514,Business
0.72,791,Technology
0.46,1231,Entertainment
0.53,1012,Entertainment
0.63,1590,Sports
0.67,592,Politics
0.31,675,Entertainment
0.71,1515,Business
0.51,1556,Business
0.59,1647,Entertainment
0.51,1402,Business
0.54,319,Sports
0.34,412,Entertainment
0.5,585,Technology
0.68,1580,Technology
0.56,1584,Sports
0.94,852,Politics
0.54,174,Technology
0.42,1921,Technology
0.85,261,Politics
0.6,1525,Politics
0.74,1357,Business
0.56,972,Technology
0.43,1356,Entertainment
0.52,1354,Entertainment
0.52,496,Entertainment
0.74,838,Technology
0.47,424,Entertainment
0.55,1165,Business
0.34,190,Entertainment
0.53,795,Business
0.89,1555,Sports
0.3,1159,Entertainment
0.66,1652,Sports
0.61,199,Politics
0.82,528,Politics
0.47,730,Technology
0.82,1663,Politics
0.62,645,Politics
0.7,1442,Business
0.78,553,Politics
0.58,807,Business
0.73,1181,Business
0.94,1629,Politics
0.7,778,Business
0.68,417,Entertainment
0.61,1773,Politics
0.72,1050,Business
0.57,231,Business
0.49,1949,Technology
0.4,258,Entertainment
0.78,1939,Technology
0.58,1315,Technology
0.57,939,Sports
0.54,505,Technology
0.8,1627,Sports
0.96,1963,Politics
0.43,182,Technology
0.81,827,Business
0.7,649,Business
0.76,1004,Politics
0.52,379,Entertainment
0.77,1043,Sports
0.69,1350,Politics
0.6,1318,Technology
0.67,391,Sports
0.33,884,Entertainment
0.66,1204,Politics
0.71,724,Politics
0.61,1393,Entertainment
0.84,312,Politics
0.91,602,Politics
0.39,1994,Entertainment
0.78,1602,Technology
0.69,1136,Sports
0.78,1237,Sports
0.98,1997,Politics
0.37,849,Entertainment
0.81,262,Business
0.78,168,Business
0.5,739,Business
0.69,1471,Business
0.6,1828,Entertainment
0.72,200,Sports
0.63,1192,Business
0.78,1027,Sports
0.53,1819,Technology
0.59,781,Technology
0.78,1715,Sports
0.87,1492,Politics
0.65,1788,Politics
0.53,1811,Entertainment
0.65,1247,Technology
0.47,608,Entertainment
0.68,1117,Politics
0.71,432,Business
0.62,1672,Business
0.62,623,Sports
0.64,1786,Politics
0.7,1320,Technology
0.57,1603,Sports
0.68,1063,Politics
0.68,1816,Technology
0.64,1527,Business
0.69,1594,Sports
0.84,1458,Politics
0.58,266,Entertainment
0.84,977,Business
0.66,828,Sports
0.84,428,Business
0.77,531,Business
0.82,1532,Business
0.63,1029,Politics
0.73,849,Business
0.95,1933,Politics
0.85,133,Business
0.82,1727,Business
0.93,1550,Politics
0.61,489,Business
0.53,653,Business
0.73,1332,Technology
0.64,762,Technology
0.8,1324,Politics
0.72,490,Technology
0.55,1719,Business
0.98,387,Politics
0.88,1242,Sports
0.67,657,Technology
0.98,633,Politics
0.84,187,Politics
0.75,660,Politics
0.68,1590,Technology
0.49,459,Entertainment
